#OTU ID	description	SRR23216666	SRR23216663	SRR23216665	SRR23216664	SRR23216662	SRR23216667	ERR1474249	ERR1474250	ERR1474244	ERR1474248	ERR1474235	ERR1474237	ERR1474238	ERR1474246	ERR1474251	ERR1474247	ERR1474236	ERR1474240	ERR1474239
COA-PWY	coenzyme A biosynthesis I	23230.79005392553	10645.232597086571	13576.157841790313	19275.225586712288	17110.108584798374	21001.087870042385	2851.2988389822062	4162.4665327010325	8457.678207516412	21014.67359634225	18260.360291513283	5533.402289137872	11147.65680711942	11067.49571641965	11198.750344002949	25857.013370034496	20592.17605412998	11143.684314319667	4883.637111821955
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	5737.460655927216	6336.106080789548	6680.069422255729	15008.320374096997	6434.143728641866	9320.198502617117	2559.307096435263	2716.16117176057	6272.986452455745	14587.827941148504	17744.53970612929	3259.3022410096905	9680.22607486827	4347.585325039086	7134.987050794585	22848.519537074437	9197.52470474736	10224.924497927448	3130.514682379491
CODH-PWY	reductive acetyl coenzyme A pathway	426.73718630052633	219.53714474463	100.98209648636391	4688.017327596604	1164.0953969312643	2117.4837054097643	71.00643164682924	176.51435755085657	444.3921050345349	2512.978834926992	10469.321087076842	18.211212121085605	297.2337468713241	213.33255274007675	490.3594166989264	223.785103842836	789.662443292382	706.7414590963824	134.4107947639251
COLANSYN-PWY	colanic acid building blocks biosynthesis	13488.00956105668	8491.72291200647	7525.001524614812	13975.294405480532	11471.674931351918	11734.276906131125	2320.0193787044536	3027.3848040944467	4465.830019605504	14356.597457320291	16408.27451823687	3929.798553451049	5042.595201437106	6144.444132489166	7588.776685356131	19858.09852577914	16961.81350618707	5675.667099846154	3335.6774150398987
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	24104.35931474318	10108.0020621703	14299.805598070034	20476.19233983844	17132.828509248742	21168.799218169253	3266.5053296002043	5000.917906229946	9950.268100731968	21305.76986953252	18245.04296085544	6259.770669063138	12425.241099221785	11590.024308742635	10247.29308579416	29021.469893875477	21300.84350841664	11087.99137864608	5391.893169157985
CRNFORCAT-PWY	creatinine degradation I	3758.39863099327	169.8535878763869	470.2176861161222	126.65199561912269	322.55152599367085	1565.7783440158012	64.70690253595818	910.1052808337472	1457.0828548309196	125.14417118907296	10.514965601647852	253.52040876493163	419.47122374039577	4834.228496362745	906.9956639450492	5851.356273451579	3625.858745291791	213.60013149764023	1001.1556423906666
DAPLYSINESYN-PWY	L-lysine biosynthesis I	21701.43009915988	7708.610312856431	12724.419373434745	14076.580195188117	14228.365257113148	18743.078081904918	2603.996449381052	4610.791119160839	6332.807171258515	15440.439623556586	11564.399171262492	5361.832956087659	11275.871296743122	10672.37492042795	9637.275676328882	29678.96820475923	19811.440694461267	11671.477131213282	4563.003043582426
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	10620.598018421097	2689.5065509327605	3896.003539217808	2088.3960773028257	5867.026214199713	5478.551527798709	11.118303357081707	337.695650856382	395.0218824416074	21.376118683326347	7.161937287767293	422.6863280348969	15.939489508778822	1096.1330724456286	138.9677661820122	1822.9054010843663	5225.417340444571	10.176001160260688	252.9455382108621
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	21948.106118298805	10662.679270116278	12334.746015762325	18546.927538884745	15997.961462018917	20158.674682400877	2961.999586058503	4246.447318290689	7119.777425154088	20683.118211647285	19577.99461337886	5862.142455991811	10468.641110757631	6778.901367477258	11318.131292905566	9035.35716744752	19185.749885441262	10733.593133316625	4986.07361149767
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	93.6792604131947	280.4385988666413	139.2399386304861	259.52894721452765	195.89384625314204	4.90162173280335	0.0712481811837029	40.45872971462041	8.491595785715665	0.3604370057257688	0.207358884291119	68.34648301078825	19.40823511350335	1409.2136178355274	18.531116824263872	18.511691868970782	168.70267928040283	3.431252215508075	23.39604568115418
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	24932.009375124824	13445.69097724772	15025.980085396191	22033.17476599117	19309.396977695666	19560.70527196153	4549.772552377888	4144.34978448637	6586.042069316068	21440.85813023982	28359.23453441192	5799.676273541228	12341.711845823864	8669.150976950392	12102.281323852812	25948.51822149513	23367.306899497115	15558.369476535128	5188.511278650506
ECASYN-PWY	enterobacterial common antigen biosynthesis	149.4435001351427	5.765840171632528	33.63601092217242	17.777007544417305	19.12592107996316	7.482157839581389	380.0931939692418	849.5942082081139	225.05180852762783	6043.458224813361	1408.530142019447	1416.3608487357926	1608.822467512373	331.52820182365235	1757.8678606622932	103.49579852557146	874.734402299268	1511.1811766898231	689.1926360986154
ENTBACSYN-PWY	enterobactin biosynthesis	9656.027394716017	810.4903283630067	1492.7359499022157	8520.138747801971	1333.7611036718893	4861.709522054863	561.3727141263706	1488.2652479045478	2758.60126406283	1679.821763009634	2310.165727942229	1058.665465617347	2752.321811378933	2600.288238947261	3618.853616723578	9408.07509809882	7031.887768389981	2624.153604855685	947.3951755975291
FAO-PWY	fatty acid &beta;-oxidation I	24451.034006669568	6871.01754684133	6518.508939213875	16870.98483747756	9932.968240727718	11052.7914478829	1099.5843824438464	6427.585273953912	11555.371614464022	9150.62151393376	4103.76957861787	6306.130896448742	2554.532385324952	13762.685059360594	10032.175298598118	35247.86524575681	25133.16672803484	2574.033704698481	3840.892045896802
FASYN-ELONG-PWY	fatty acid elongation -- saturated	33350.61878112282	13748.143112707605	15400.939650393491	22075.901150215577	20615.78058925821	20001.884901036294	3209.39496656455	6265.429246101257	11059.095276599528	28218.0555501892	22642.328970985436	7332.706498961198	8645.298835090634	10755.705952464104	13705.811333573196	41866.884137833535	28916.4441543126	6559.197625911777	5013.683712997901
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	25362.22337788279	3420.7138531596333	15051.329471607936	10659.878816368064	15308.329075571182	16796.819234066206	1340.4371038436568	5375.252183035891	4920.690214421064	25017.41135094588	11411.126725210954	5377.370933811998	7293.26080856169	8163.919079865467	9982.428571856024	15799.489194569547	19874.660184236905	5153.252414795361	3844.66139070109
FERMENTATION-PWY	mixed acid fermentation	16093.135414926115	9086.263939191	11649.037447191526	15348.13020055801	13661.713479664568	16779.781880277184	2573.7044999038435	3988.135046568923	5774.110063714261	19370.89962491848	16960.65420784073	5045.428655347706	7523.422253698163	6075.968531792221	11106.1818471009	20320.81962538645	15051.693334743084	4805.615896840616	3927.474579676855
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	21520.89921111457	10839.1355902249	12598.031423905624	20354.948728438	15796.56300752292	20439.59331231349	2815.8469708865214	4591.100707949696	9007.184888729078	19708.371990219155	18032.89818420097	5786.530666307454	10708.751922999536	10221.94396464982	11289.087879952902	28163.97625836062	20635.781103086912	10582.670647284986	4920.8628497254485
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	1667.254064488277	1149.7220612200194	1017.9864848497268	2054.163751838099	1951.1523336590124	2720.9539430181726	836.2402754525258	315.19939419180787	715.1300111098594	3573.931386709412	4315.800491615787	784.4564993460139	2131.933008985364	592.8250931755344	2393.9577908059405	345.9254627238878	1915.0626336943292	1984.712506666849	934.0850931343996
FUCCAT-PWY	fucose degradation	2908.0631023616056	1929.218787731843	1116.9316351059065	2802.920224035395	2408.416783288916	3064.7240191394167	515.3509956205525	266.18021402921573	577.1778140168991	3209.4302027956837	3470.167261660286	574.1923746025512	2523.861513599262	402.5207030568613	1925.214203328319	830.9273361447999	1912.4174371302415	2630.4602323682807	816.5510988309805
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	4270.523581740408	2689.80724757227	2791.660528190731	3034.553538907295	3726.330791817312	3546.842018585503	1533.679901713985	1532.771544625729	2030.3752212721445	6791.127300806502	9439.0252932347	1927.9838471562164	4591.125593178313	2346.36813479249	3532.9299930817165	14118.010065558468	7246.77463110533	7098.452850758594	1821.634040324389
GALACTARDEG-PWY	D-galactarate degradation I	1519.8237745078925	767.2057599995459	418.9353470958317	1354.5725727176823	891.6648344242747	557.9545338463786	273.2809772515835	282.0750914526052	892.6299485912718	1155.402655316095	1835.0801716499063	279.2503633753995	676.5137902668968	1364.667918293392	1406.1733593138988	1130.86526215833	999.8789998298378	1186.8435076172516	318.0249750371473
GALACTUROCAT-PWY	D-galacturonate degradation I	7258.393958330517	4360.999540383281	4579.168447935449	4892.578324515494	5769.050449620619	5105.420958539375	2232.749310492903	2036.9709168068648	2917.99109082628	12779.632441275622	14733.96274911614	2738.6879426769488	7959.058032864775	4289.022785881868	5525.225357764594	20096.753849182893	9387.672908218665	10698.83654103935	2586.735699917982
GALLATE-DEGRADATION-I-PWY	gallate degradation II	3659.329566159182	336.1948011661563	675.7326216068484	4559.057489477507	781.2940190324218	1073.710581989502	31.566262307329225	755.4664271103425	426.9260070533571	11.713292636568942	549.4521303935862	280.49962260861344	62.46931671184182	2372.48442231698	1510.0183579013797	8437.614908417421	3087.0350076792724	67.3524500434114	383.47706063581455
GALLATE-DEGRADATION-II-PWY	gallate degradation I	3659.329566159182	221.3894023958095	673.8780665369358	212.1494368002253	786.1827639493613	1073.710581989502	31.566262307329225	503.5026346369588	426.9260070533571	12.345871635833989	369.1041405493364	280.49962260861344	62.46931671184182	2372.48442231698	1061.6942613389906	8404.455823629218	3087.0350076792724	67.3524500434114	383.47706063581455
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	2196.194398698922	3395.6425544216763	3323.140571613562	5994.670353955266	4389.879245429667	6810.067795286635	1718.5240493198708	1372.5933676552097	2865.197531207612	11278.526587225128	9058.749283957792	2561.877527100632	8565.417551180682	1006.0318724597132	5149.139636739629	2140.13495075556	4722.357293307468	9867.295271744824	2345.9926085793004
GLUCARDEG-PWY	D-glucarate degradation I	1566.2368005201697	917.9488518112248	433.8821137000283	1360.7091543755191	1168.600812317908	737.4029895686283	516.466483546675	282.91911716080887	828.6863075981148	1847.678875730569	3174.6461956742114	305.4794000597074	675.8273746591793	1917.6751459154943	1607.5567427076796	1097.3292386571443	1221.3105001734762	1186.7499102374843	344.0033012956847
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	1519.8237745078925	767.2057599995459	418.9353470958317	1354.5725727176823	891.6648344242747	557.9545338463786	273.2809772515835	282.0750914526052	892.6299485912718	1155.402655316095	1835.0801716499063	279.2503633753995	676.5137902668968	1364.667918293392	1406.1733593138988	1130.86526215833	999.8789998298378	1186.8435076172516	318.0249750371473
GLUCONEO-PWY	gluconeogenesis I	23578.02368131416	11745.412547194015	13286.062015526277	21249.4952915381	17051.006493737394	20896.66054566967	3465.070808030664	4582.5763001861	9946.73788174997	20282.521290954715	20717.293488490835	6210.001652853428	9756.699747280078	11548.788457788323	11684.24894174153	30475.58209279062	21602.03874672215	8966.195011878766	5057.580818213191
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	4760.577569223077	2341.8259317826178	2807.380133544671	2223.198769323675	3706.56449396434	3855.288322988784	587.270581606293	1705.0468577033012	799.3442505685026	5539.515333248072	2468.675755204374	1900.1624629910373	2048.42861856958	2095.434817101835	4430.181566796784	5479.425111377678	3928.729309149783	2228.799753820689	1002.1623259700572
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	4955.688024709135	3334.9184539278044	3604.5923369211337	3773.741514092164	4374.299179164418	3823.9396810632816	1455.4030644191223	1662.58808523169	3017.003209689117	6719.615038142565	8696.67288608046	2209.82959193364	4735.6398401354745	3745.0991178843656	3785.496404660974	20358.71355989904	8401.025473661863	6961.761418971248	1859.7085213008647
GLUTORN-PWY	L-ornithine biosynthesis	16974.198941163275	7666.464633198713	8490.572739993087	12982.847062997298	10747.441577026691	13222.846128807538	2116.0174973903404	4129.447150405122	5607.184825593816	10573.475940906805	15071.371614562311	4658.637112655352	5166.420125171042	10251.153481904325	7677.427734307509	27455.956646407103	18045.64661176088	3373.583526341301	3984.280582787582
GLYCOCAT-PWY	glycogen degradation I (bacterial)	9660.02497484899	8789.960741299168	8712.680489384202	14383.571061101671	10807.108055909932	15855.907137700504	4320.606143744914	2469.276253812077	6391.832962507698	20164.02560140893	19934.860663936957	3724.6206109412046	13447.059707935776	4161.640732053947	7408.333692087729	17765.364180967845	13562.097472201098	15248.120847336604	4120.09671676684
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	11249.983872897928	9792.665268639192	9227.357883194823	13822.301354944067	11958.083114772016	14404.288894507456	3514.4612208088424	3407.174184561712	7104.540199161114	17595.01083383505	14166.24703071955	3678.3543619304114	14693.156586758894	5318.018693326533	7258.872742108179	22819.041276214168	14293.930680187972	14602.879849660963	4038.383426199685
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	761.4145005472934	1225.267066598674	722.8059400323402	1253.1241032943562	1251.5181448988667	1640.0689428237752	467.1606533373073	178.5158561942506	709.7193106584592	1671.7883319010923	1357.9939580439604	687.0482166444266	605.4218568763691	285.13176253777965	2026.3268296497936	165.19425631186758	1088.661442557996	840.599565347685	529.7673191749612
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	23064.770245798587	11933.601203809498	14492.75998892391	22254.254280922563	17643.027374109595	23214.85855834999	3918.274780363971	4782.065488429503	9965.954839245123	22247.824487561826	21919.22190722048	6646.049767436409	12377.6509093449	11804.710851744894	13444.421009961054	25592.069805874664	22919.368341597787	11430.376207272093	5552.767473758102
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	19092.67800345411	7437.177002468265	12019.71180675701	16023.541784161507	13920.93138466187	18595.892207829616	2029.5712903609835	4425.553764053311	7773.925138279403	13651.365630932816	12671.709981895736	5209.270685714523	5823.9750410443	9740.46040438127	9752.9006654815	25029.068432778888	19404.04019471817	5431.800621855316	4150.4997015279405
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	19785.495505118248	7324.6650552318815	9273.51404966847	16323.909823322854	12031.467438585763	15588.18156320258	1290.1863913900972	4315.073663249705	8892.515524390903	9113.286174795636	4778.349297107591	5061.699128434543	2702.637054113382	11020.52076159302	8603.288816090193	24767.31423255691	19068.329596328364	2828.521500195286	4131.141565025688
GLYOXYLATE-BYPASS	glyoxylate cycle	13886.941464734704	4625.083426622154	4928.203146436037	16746.216553574464	6782.604504880343	8981.040273394025	598.730370467907	3276.982938632583	8145.187990531247	4393.247502739604	1911.6022917034857	3189.9973465192256	1019.2531403836142	8511.853496215514	5487.186398885791	25552.116877950008	13941.522275468653	1053.0499034469933	2733.552334071733
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	386.75633628847135	327.6724616420889	577.8802172353943	765.6202510750182	722.2794761487577	1261.9747840244245	189.7997883250672	330.43121272881814	795.7971054876598	2839.726983005157	1700.0487367921105	204.29307201575813	3494.8927698437537	1156.4346529507684	1697.2191939268132	90.3767139556832	924.9677589331484	5033.233536264214	1099.870405432912
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	5881.990924287606	538.4013154535777	851.8598463848077	711.7471845449835	1317.7484226487836	2096.467923480505	135.4298227508219	231.00790155416317	188.6619687151621	351.8514041124406	999.9528957697383	771.9445231382724	295.6050871130604	522.1654952982245	2295.7406541404125	200.26653054548487	2853.1674513779367	467.1892124937605	475.4674704246277
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	14003.52929620267	4902.869024232827	4855.56852796596	8473.03265208291	6000.98403067624	10588.2100195034	604.9090212774245	3180.987196071822	4347.570378931354	4218.30843451224	3648.141323797761	3496.189022820832	1398.8150795749714	7208.016267409309	4665.829627413987	22653.106963991457	13507.291139502897	1177.3483297182138	2118.329629691068
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	22965.356163242013	9250.838728999985	10775.207850942996	16477.897048068597	15478.578156673342	16859.54891308568	877.9382591164853	4223.500884502603	6366.998323729011	7809.689212832454	4184.191838286245	4972.383498627251	2958.670297592992	10317.44701812778	7736.018070906937	27283.14620110995	20060.207698255806	2161.8422769384606	3891.814508946704
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	4274.874804177292	3004.765319501629	5497.58546512871	8593.191526671715	6319.620886275684	12017.678668965747	989.0091266696596	1169.405330658108	5197.89883843729	6999.259363917634	5454.352632631994	2925.135630283213	6400.5008718228855	2820.207223517721	4879.11275590548	2614.417074728103	6498.231111192355	6035.862774644072	2319.9063407048484
HISDEG-PWY	L-histidine degradation I	13091.115304454315	8786.630348082012	5570.382741653503	11293.651820073655	8904.4584203444	8382.062438942039	1575.905350261893	2311.110240438755	7591.558002337952	13027.326039044452	9791.373392613174	2999.269788595456	6907.940066316337	7212.313919299829	6072.152789333806	13299.35214074887	15625.0313115335	7465.936902269645	2792.46565514381
HISTSYN-PWY	L-histidine biosynthesis	19439.03336620185	7168.105537864038	9508.32391672299	13036.409824561008	11499.10194432444	16153.320091466989	2998.3588819197994	4151.891025524557	8220.026525662615	13454.813413230062	17419.287511989347	4989.3816477040045	6198.681899864508	10616.123286023698	8259.260237742285	27328.89708745672	19486.56566646567	4139.754808302628	4281.01112486532
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	8808.150863406709	3699.340173221152	6972.766764444056	5918.687164477483	8342.36164607102	11192.700439232158	2070.8057166241806	2954.320246114474	4951.70802212848	9878.3614069356	11936.548206922243	3022.623163550169	5236.830600365617	8245.292318924796	6844.145820828671	11586.91619840233	14193.735496924835	6502.781848369828	2800.404534665583
HSERMETANA-PWY	L-methionine biosynthesis III	21853.169615875453	7774.705038409401	9107.505822535284	18446.65229828888	11500.444194103942	15483.632031502151	2368.1925117180854	4418.2320857600935	10172.243987054324	10755.912398965353	13867.568730311668	5281.064038312982	4457.895456782026	11101.062024201236	8463.061979670152	23660.32405301411	20998.41677384467	4903.900303345347	4183.778142867313
ILEUDEG-PWY	L-isoleucine degradation I	27.62773955739704	0.1148580702022852	0.0923338371956181	9.108931736585711e-05	0.0697490093134276	6.573531565794204	0.0	0.0120864290964259	0.0003345803968896	0.0	0.0	0.0425043011714086	0.0	0.0044918626913554	0.0337876747871766	3.0175e-13	0.0245375767600178	0.0	0.0008659756538701
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	31653.18034526783	12777.807115616564	15317.011697059866	23617.854880229508	19757.621285160152	23264.7929839552	4042.945550729552	7010.376915523048	11633.581389255882	23000.21622374408	22647.81856148525	7845.290536062896	12908.060183536178	18036.542270869515	12331.644606541257	41409.5345339984	30236.21726408317	12692.660352308694	6484.667840213925
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	1009.0735604664128	1851.065338342487	381.9075985933603	8379.815313542478	5183.995195211182	2473.511271021777	2280.59047604555	586.3908103347106	4586.445768733363	208.8360042856564	1473.953473837439	2232.9109380287296	1290.3984262125268
